,SH_510050IV
2018-09-13,23.6239
2018-09-14,22.1203
2018-09-17,21.4779
2018-09-18,20.8756
2018-09-19,19.7501
2018-09-20,18.8381
2018-09-21,19.5306
2018-09-25,21.0181
2018-09-26,21.7403
2018-09-27,21.0008
2018-09-28,21.3459
2018-10-08,23.462
2018-10-09,23.6196
2018-10-10,23.593000000000004
2018-10-11,25.9312
2018-10-12,26.4207
2018-10-15,27.3651
2018-10-16,27.0466
2018-10-17,27.1524
2018-10-18,28.1492
2018-10-19,26.7752
2018-10-22,26.7587
2018-10-23,28.2905
2018-10-24,28.3234
2018-10-25,29.4127
2018-10-26,30.3504
2018-10-29,32.3313
2018-10-30,32.3123
2018-10-31,31.6353
2018-11-01,30.5888
2018-11-02,29.0379
2018-11-05,30.8064
2018-11-06,31.5489
2018-11-07,31.5951
2018-11-08,31.0883
2018-11-09,31.4138
2018-11-12,32.0898
2018-11-13,31.3079
2018-11-14,30.773000000000003
2018-11-15,30.07800000000001
2018-11-16,29.3991
2018-11-19,28.7749
2018-11-20,27.9346
2018-11-21,27.8097
2018-11-22,26.9138
2018-11-23,26.1801
2018-11-26,26.4301
2018-11-27,25.3127
2018-11-28,24.4157
2018-11-29,24.2444
2018-11-30,25.1697
2018-12-03,22.4512
2018-12-04,20.8933
2018-12-05,20.9874
2018-12-06,21.2395
2018-12-07,20.198
2018-12-10,20.6921
2018-12-11,20.8584
2018-12-12,20.5794
2018-12-13,19.6545
2018-12-14,19.9337
2018-12-17,20.859
2018-12-18,21.3986
2018-12-19,21.5419
2018-12-20,23.6427
2018-12-21,24.4626
2018-12-24,23.7352
2018-12-25,24.402
2018-12-26,23.8794
2018-12-27,23.4593
2018-12-28,23.2163
2019-01-02,22.6772
2019-01-03,22.4258
2019-01-04,21.728
2019-01-07,22.1103
2019-01-08,21.1121
2019-01-09,19.5034
2019-01-10,19.2805
2019-01-11,18.8069
2019-01-14,19.0075
2019-01-15,18.1373
2019-01-16,17.1185
2019-01-17,17.4044
2019-01-18,17.8985
2019-01-21,19.3245
2019-01-22,17.8329
2019-01-23,17.3036
2019-01-24,15.7249
2019-01-25,15.4387
2019-01-28,16.9356
2019-01-29,18.363
2019-01-30,18.9777
2019-01-31,18.7295
2019-02-01,19.1343
2019-02-11,19.249
2019-02-12,18.8902
2019-02-13,20.1552
2019-02-14,21.5961
2019-02-15,20.8864
2019-02-18,22.0391
2019-02-19,23.0343
2019-02-20,23.5742
2019-02-21,23.3197
2019-02-22,22.8502
2019-02-25,27.2522
2019-02-26,31.3576
2019-02-27,31.1273
2019-02-28,28.6795
2019-03-01,27.6977
2019-03-04,30.1146
2019-03-05,30.8969
2019-03-06,31.9001
2019-03-07,33.1247
2019-03-08,33.3543
2019-03-11,30.5439
2019-03-12,30.6211
2019-03-13,30.5686
2019-03-14,29.3823
2019-03-15,27.7194
2019-03-18,28.5122
2019-03-19,29.2165
2019-03-20,29.2969
2019-03-21,29.9196
2019-03-22,29.58
2019-03-25,27.7415
2019-03-26,26.0874
2019-03-27,25.1514
2019-03-28,23.7382
2019-03-29,24.6724
2019-04-01,26.7264
2019-04-02,29.1632
2019-04-03,28.637
2019-04-04,30.4023
2019-04-08,32.4803
2019-04-09,30.6749
2019-04-10,30.8711
2019-04-11,30.7967
2019-04-12,28.215
2019-04-15,28.2938
2019-04-16,28.1131
2019-04-17,29.1777
2019-04-18,29.0292
2019-04-19,28.5844
2019-04-22,29.9853
2019-04-23,28.0611
2019-04-24,27.5112
2019-04-25,27.2003
2019-04-26,26.4074
2019-04-29,25.8859
2019-04-30,26.0521
2019-05-06,29.8194
2019-05-07,26.7245
2019-05-08,27.7356
2019-05-09,29.5212
2019-05-10,29.5351
2019-05-13,28.345
2019-05-14,27.3937
2019-05-15,25.6192
2019-05-16,24.4
2019-05-17,24.2038
2019-05-20,23.7573
2019-05-21,22.97
2019-05-22,22.0787
2019-05-23,22.4151
2019-05-24,22.4941
2019-05-27,23.8694
2019-05-28,22.7274
2019-05-29,21.8692
2019-05-30,22.055
2019-05-31,22.7037
2019-06-03,23.0321
2019-06-04,23.5482
2019-06-05,23.1672
2019-06-06,23.1508
2019-06-10,22.0534
2019-06-11,20.8896
2019-06-12,21.3627
2019-06-13,21.016
2019-06-14,20.9447
2019-06-17,20.8493
2019-06-18,20.1337
2019-06-19,19.0515
2019-06-20,22.6827
2019-06-21,25.3224
2019-06-24,26.4815
2019-06-25,26.5415
2019-06-26,26.5228
2019-06-27,26.6822
2019-06-28,27.6941
2019-07-01,25.4012
2019-07-02,24.8904
2019-07-03,23.9353
2019-07-04,23.4981
2019-07-05,24.1996
2019-07-08,23.3124
2019-07-09,22.2815
2019-07-10,22.3269
2019-07-11,22.6676
2019-07-12,22.5774
2019-07-15,22.732
2019-07-16,23.0098
2019-07-17,22.5344
2019-07-18,22.1915
2019-07-19,23.1513
2019-07-22,22.0029
2019-07-23,20.9092
2019-07-24,19.986
2019-07-25,19.0594
2019-07-26,19.2376
2019-07-29,19.9749
2019-07-30,20.0738
2019-07-31,20.4228
2019-08-01,18.3708
2019-08-02,18.923
2019-08-05,20.815
2019-08-06,22.4572
2019-08-07,21.6542
2019-08-08,21.1624
2019-08-09,20.5405
2019-08-12,20.9417
2019-08-13,20.8637
2019-08-14,20.2153
2019-08-15,20.8219
2019-08-16,20.7463
2019-08-19,21.3661
2019-08-20,21.2131
2019-08-21,20.3396
2019-08-22,20.1251
2019-08-23,20.4411
2019-08-26,21.6918
2019-08-27,20.5429
2019-08-28,20.3296
2019-08-29,19.3983
2019-08-30,19.4493
2019-09-02,18.7112
2019-09-03,18.709
2019-09-04,18.1907
2019-09-05,19.0342
2019-09-06,19.6381
2019-09-09,20.6674
2019-09-10,20.2111
2019-09-11,20.1307
2019-09-12,19.8911
2019-09-16,19.133
2019-09-17,18.6391
2019-09-18,18.2391
2019-09-19,18.0406
2019-09-20,17.4002
2019-09-23,17.5005
2019-09-24,17.1619
2019-09-25,17.4558
2019-09-26,17.3914
2019-09-27,17.831
2019-09-30,17.9595
2019-10-08,16.5323
2019-10-09,15.7645
2019-10-10,16.1124
2019-10-11,16.294
2019-10-14,15.8044
2019-10-15,15.4048
2019-10-16,14.6407
2019-10-17,15.3945
2019-10-18,15.3087
2019-10-21,14.7796
2019-10-22,14.5263
2019-10-23,14.7722
2019-10-24,14.3941
2019-10-25,14.0598
2019-10-28,14.2206
2019-10-29,14.4786
2019-10-30,14.7485
2019-10-31,14.9372
2019-11-01,14.8357
2019-11-04,14.9954
2019-11-05,15.4707
2019-11-06,15.1958
2019-11-07,15.3836
2019-11-08,15.4632
