,510800
2022-07-05,1.2989
2022-07-06,1.2765
2022-07-07,1.2735
2022-07-08,1.2752
2022-07-11,1.256
2022-07-12,1.2489
2022-07-13,1.2458
2022-07-14,1.2383
2022-07-15,1.2201
2022-07-18,1.237
2022-07-19,1.2314
2022-07-20,1.235
2022-07-21,1.2206
2022-07-22,1.2256
2022-07-25,1.2205
2022-07-26,1.2279
2022-07-27,1.2175
2022-07-28,1.217
2022-07-29,1.2022
2022-08-01,1.1978
2022-08-02,1.1765
2022-08-03,1.1682
2022-08-04,1.181
2022-08-05,1.196
2022-08-08,1.19
2022-08-09,1.1914
2022-08-10,1.1773
2022-08-11,1.2011
2022-08-12,1.2058
2022-08-15,1.1998
2022-08-16,1.1944
2022-08-17,1.2017
2022-08-18,1.1907
2022-08-19,1.187
2022-08-22,1.1898
2022-08-23,1.1815
2022-08-24,1.1696
2022-08-25,1.1886
2022-08-26,1.1891
2022-08-29,1.1809
2022-08-30,1.1784
2022-08-31,1.1927
2022-09-01,1.1802
2022-09-02,1.1712
2022-09-05,1.1656
2022-09-06,1.177
2022-09-07,1.1714
2022-09-08,1.1704
2022-09-09,1.1913
2022-09-13,1.1962
2022-09-14,1.1862
2022-09-15,1.1852
2022-09-16,1.1571
2022-09-19,1.1581
2022-09-20,1.156
2022-09-21,1.1467
2022-09-22,1.1371
2022-09-23,1.1371
2022-09-26,1.1304
2022-09-27,1.1427
2022-09-28,1.1293
2022-09-29,1.1278
2022-09-30,1.128
2022-10-10,1.0999
2022-10-11,1.0976
2022-10-12,1.1041
2022-10-13,1.0907
2022-10-14,1.1169
2022-10-17,1.1174
2022-10-18,1.1107
