,margin_balance,short_balance
2016-12-09,961821000000.0,4523373441.0
2016-12-12,950163000000.0,4415230861.0
2016-12-13,948846000000.0,4044188815.0
2016-12-14,949273000000.0,4030573356.0
2016-12-15,952140000000.0,3844096810.0
2016-12-16,948572000000.0,3685318648.0
2016-12-19,947688000000.0,3642987260.0
2016-12-20,948923000000.0,3556054541.0
2016-12-21,948868000000.0,3767343594.0
2016-12-22,947776000000.0,3661096198.0
2016-12-23,942344000000.0,3645124954.0
2016-12-26,943770000000.0,3604357541.0
2016-12-27,944434000000.0,3445367876.0
2016-12-28,944892000000.0,3307045496.0
2016-12-29,944108000000.0,3328908579.0
2016-12-30,935770000000.0,3478941762.0
2017-01-03,935833000000.0,3372255485.0
2017-01-04,934595000000.0,3443396324.0
2017-01-05,932900000000.0,3637728308.0
2017-01-06,929453000000.0,3442678258.0
2017-01-09,929469000000.0,3747884297.0
2017-01-10,927824000000.0,3779936865.0
2017-01-11,925585000000.0,3875345748.0
2017-01-12,923551000000.0,3769345081.0
2017-01-13,916525000000.0,3751551543.0
2017-01-16,898878000000.0,3973415767.0
2017-01-17,897359000000.0,3875318706.0
2017-01-18,894104000000.0,3943951024.0
2017-01-19,892230000000.0,3768029855.0
2017-01-20,888736000000.0,3403679548.0
2017-01-23,886135000000.0,3425067394.0
2017-01-24,881729000000.0,3405712835.0
2017-01-25,878214000000.0,3264628105.0
2017-01-26,865010000000.0,2970412708.0
2017-02-03,869708000000.0,3031192924.0
2017-02-06,874413000000.0,3213061907.0
2017-02-07,874731000000.0,3401875760.0
2017-02-08,877491000000.0,3567226080.0
2017-02-09,881332000000.0,3560766502.0
2017-02-10,879525000000.0,3649787711.0
2017-02-13,884664000000.0,3919038953.0
2017-02-14,886433000000.0,3869054091.0
2017-02-15,888277000000.0,4526823364.0
2017-02-16,891754000000.0,4158486177.0
2017-02-17,890112000000.0,4406387066.0
2017-02-20,894936000000.0,4517145918.0
2017-02-21,896022000000.0,4763345552.0
2017-02-22,898282000000.0,4340873484.0
2017-02-23,901455000000.0,4266007458.0
2017-02-24,901414000000.0,4035846934.0
2017-02-27,904124000000.0,4084083526.0
2017-02-28,906345000000.0,4061711418.0
2017-03-01,907090000000.0,4324216514.0
2017-03-02,908224000000.0,4158023804.0
2017-03-03,905595000000.0,4076611048.0
2017-03-06,908838000000.0,4338851490.0
2017-03-07,909396000000.0,4319153258.0
2017-03-08,909417000000.0,4684564826.0
2017-03-09,908767000000.0,4487669785.0
2017-03-10,905399000000.0,4434920192.0
2017-03-13,907663000000.0,4625197586.0
2017-03-14,908647000000.0,4655793545.0
2017-03-15,909625000000.0,4636027170.0
2017-03-16,916593000000.0,4632636442.0
2017-03-17,915358000000.0,4603335740.0
2017-03-20,918361000000.0,4458378215.0
2017-03-21,919845000000.0,4740143595.0
2017-03-22,921474000000.0,4752531738.0
2017-03-23,922150000000.0,4779162472.0
2017-03-24,921608000000.0,4685090449.0
2017-03-27,925925000000.0,4641475542.0
2017-03-28,926997000000.0,4507249503.0
2017-03-29,926650000000.0,4858589326.0
2017-03-30,925557000000.0,4403370683.0
2017-03-31,918025000000.0,4205366730.0
2017-04-05,923154000000.0,4361132840.0
2017-04-06,924044000000.0,4593637116.0
2017-04-07,921501000000.0,4447839352.0
2017-04-10,925553000000.0,4710771020.0
2017-04-11,930754000000.0,4780354003.0
2017-04-12,932413000000.0,4934220106.0
2017-04-13,935682000000.0,5081110905.0
2017-04-14,932574000000.0,4726603631.0
2017-04-17,934275000000.0,4724297138.0
2017-04-18,932672000000.0,4767750040.0
2017-04-19,929602000000.0,4603521174.0
2017-04-20,926626000000.0,4592238635.0
2017-04-21,918551000000.0,4361302688.0
2017-04-24,912756000000.0,4670396238.0
2017-04-25,910720000000.0,4763872029.0
2017-04-26,909791000000.0,4768170507.0
2017-04-27,910011000000.0,4852646499.0
2017-04-28,904679000000.0,4549059979.0
2017-05-02,906301000000.0,4732616570.0
2017-05-03,907067000000.0,4878551006.0
2017-05-04,908681000000.0,4987235481.0
2017-05-05,902953000000.0,4906215179.0
2017-05-08,898035000000.0,4994589072.0
2017-05-09,896337000000.0,4794307234.0
2017-05-10,890721000000.0,5022845347.0
2017-05-11,882669000000.0,5002303999.0
2017-05-12,877288000000.0,5017996177.0
2017-05-15,874967000000.0,5106956108.0
2017-05-16,877761000000.0,5146293813.0
2017-05-17,878626000000.0,5016558898.0
2017-05-18,879696000000.0,4728801999.0
2017-05-19,876912000000.0,4645986069.0
2017-05-22,876158000000.0,4931776295.0
2017-05-23,871300000000.0,5055639895.0
2017-05-24,870531000000.0,5081764286.0
2017-05-25,870240000000.0,5250241917.0
2017-05-26,863994000000.0,4639179337.0
2017-05-31,864815000000.0,4809706283.0
2017-06-01,859781000000.0,4847562184.0
2017-06-02,858003000000.0,4528573674.0
2017-06-05,859152000000.0,4502659890.0
2017-06-06,858121000000.0,4557975431.0
